symbol,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020,year_2021,year_2022,year_2023,year_2024,year_2025,industry
AMC,0.1772,0.2062,0.1813,0.1791,0.1375,0.1166,0.1134,0.1219,0.1233,0.0921,0.0879,Tài nguyên Cơ bản
AME,0.0074,0.0121,0.0418,0.0508,0.0238,0.0254,0.0203,0.0156,0.0118,0.0107,0.0151,Hàng & Dịch vụ Công nghiệp
AMS,0.0198,0.0317,0.0172,0.0286,0.0256,0.0386,0.0331,0.0313,0.0237,0.025,0.0241,Hàng & Dịch vụ Công nghiệp
AMV,-0.0307,0.0436,0.1019,0.3747,0.2793,0.0924,0.0561,0.0305,0.0075,-0.0071,-0.0308,Y tế
ANT,0.061,0.0196,-0.0835,0.0073,0.0278,0.0523,0.0476,0.1065,0.0146,0.0716,0.0986,Thực phẩm và đồ uống
ANV,0.0005,0.005,0.0577,0.1944,0.1902,0.0484,0.0294,0.1402,0.0082,0.0106,0.1929,Thực phẩm và đồ uống
APC,0.1262,0.1835,0.2417,0.2188,0.0575,0.0464,-0.0016,-0.0095,-0.0413,-0.0267,-0.0377,Y tế
APF,0.069,0.0428,0.0431,0.0511,0.0418,0.1174,0.0775,0.1427,0.065,0.0497,0.0551,Thực phẩm và đồ uống
APG,0.1781,0.0009,0.0573,0.05,0.0638,0.0645,0.2637,-0.1228,0.0796,-0.0492,0.001,Dịch vụ tài chính
API,0.0252,-0.0077,0.1047,0.0406,0.0246,0.0498,0.135,0.0698,-0.033,-0.0139,0.0096,Bất động sản
APS,0.0179,0.0074,0.0276,0.0052,-0.1005,0.142,0.3989,-0.4672,-0.2303,0.0271,-0.0383,Dịch vụ tài chính
ARM,0.1804,0.1545,0.1454,0.1585,0.0992,0.0174,0.0337,0.0518,0.0394,0.0675,0.0962,Hàng & Dịch vụ Công nghiệp
ASM,0.0251,0.0461,0.0402,0.117,0.0611,0.0376,0.0455,0.0545,0.0135,0.0115,0.0069,Thực phẩm và đồ uống
ASP,-0.0304,0.0234,0.0416,0.0452,0.0373,0.0246,0.0209,0.0109,-0.0724,0.006,0.031,"Điện, nước & xăng dầu khí đốt"
AST,0.0347,0.1621,0.2797,0.2901,0.328,-0.0881,-0.2792,0.0685,0.2453,0.3043,0.4371,Bán lẻ
ATS,0.0738,0.0378,0.0175,0.0075,0.0009,0.0072,0.0505,0.0187,0.0053,0.0046,0.012,Du lịch và Giải trí
AVC,0.0729,0.0652,0.1851,0.1028,0.0221,0.1416,0.2198,0.3321,0.2609,0.2738,0.2324,"Điện, nước & xăng dầu khí đốt"
BAB,0.055,0.0412,0.0253,0.0358,0.0354,0.0292,0.0437,0.0433,0.0436,0.0483,0.0335,Ngân hàng
BAX,0.1694,0.1648,0.1783,0.1751,0.4694,0.5207,0.2665,0.2638,0.1366,0.1263,0.161,Xây dựng và Vật liệu
BBS,0.0491,0.047,0.0142,0.0166,0.0181,0.0268,0.0372,0.0283,0.0241,0.0288,0.0328,Hàng & Dịch vụ Công nghiệp
BCC,0.063,0.0709,-0.001,0.0257,0.0375,0.0489,0.0291,0.0233,-0.0894,-0.0034,0.0104,Xây dựng và Vật liệu
BCE,0.057,0.0358,0.0741,0.0822,0.0899,0.0726,0.0415,-0.1377,0.0018,0.1568,0.092,Xây dựng và Vật liệu
BCF,0.2213,0.1976,0.1831,0.1631,0.2529,0.3156,0.1602,0.2861,0.1561,0.194,0.1852,Thực phẩm và đồ uống
BCM,0.0183,0.0249,0.0302,0.0716,0.089,0.0679,0.0431,0.0507,0.0582,0.0541,0.0744,Bất động sản
BDG,0.0247,0.2015,0.2565,0.3175,0.2812,0.2428,0.1294,0.2742,0.1629,0.2013,0.1506,Hàng cá nhân & Gia dụng
BDT,0.0836,0.0712,0.1446,0.14,0.1371,0.1192,0.0614,0.0736,0.0375,-0.0167,0.0141,Xây dựng và Vật liệu
BDW,0.0177,0.0387,0.0257,0.0525,0.0828,0.1006,0.1084,0.1782,0.1764,0.142,0.1538,"Điện, nước & xăng dầu khí đốt"
BED,0.1116,0.1365,0.1596,0.458,0.1761,0.1785,0.1369,0.1089,0.1883,0.1721,0.1245,Truyền thông
BFC,0.096,0.1259,0.1104,0.0832,0.0378,0.0705,0.1064,0.0538,0.0485,0.1852,0.1305,Hóa chất
BGW,0.0074,0.0202,0.0291,0.0334,0.0299,0.0506,0.0544,0.0558,0.0609,0.0596,0.0829,"Điện, nước & xăng dầu khí đốt"
BHA,-0.0113,0.0057,0.0336,0.0221,-0.0224,0.0337,0.0169,0.0979,0.0685,0.1073,0.1165,"Điện, nước & xăng dầu khí đốt"
BHN,0.1297,0.1022,0.1192,0.0876,0.0922,0.118,0.0638,0.0931,0.0654,0.0733,0.0908,Thực phẩm và đồ uống
